area	location	timepoint	date	measurer	waves	sun	rain	temp	st.obs	end.obs	visibility	replicate	m	f1	f2	f3	fu	u
Hitra	Vegshiftholmane 6	3	12.07.2022	CA	0	N	N	14.3	13:40	13:50	bad	2	15	61	3	0	0	0
Austevoll	Ternholmen	2	18.06.2022	CA		Y	N	13.3	08:47	09:05	good	1	66	36	150	96	0	1
Austevoll	Lamoya	2	20.06.2022	CA	0	Y	N	13.9	09:35	09:45	good	1	23	29	66	48	0	0
Austevoll	Lamoya	2	20.06.2022	CA	0	Y	N	13.9	09:48	09:59	good	2	19	39	66	34	0	1
Austevoll	Krabbavika	2	19.06.2022	CA	0	N	Y	12.9	08:54	09:05	bad	1	40	41	90	52	0	0
Austevoll	Tipatiskaeret	2	21.06.2022	CA	0	N	Y	13.9	11:56	11:15	medium	1	62	91	140	42	0	6
Austevoll	Saltkjaerholmane	2	17.06.2022	CA		N	Y	12.4	17:54	18:07	good	1	19	8	32	33	0	0
Austevoll	Saltkjaerholmane	2	17.06.2022	CA		N	Y	12.4	18:09	18:25	good	2	19	21	39	26	0	0
Hitra	Teistholmen 13	2	11.06.2022	CA	0	Y	N	11.2	11:24	11:44	good	1	32	22	51	25	0	1
Hitra	Teistholmen 13	2	11.06.2022	CA	0	Y	N	11.2	11:24	11:44	good	2	30	23	51	16	0	0
Hitra	Teistholmen 10	2	12.06.2022	CA	20	N	Y	11.7	13:16	13:28	medium	1	11	22	54	27	0	0
Hitra	Teistholmen 10	2	12.06.2022	CA	20	N	Y	11.7	13:30	13:40	medium	2	12	28	39	14	0	0
Hitra	Feoya f4-5	2	10.06.2022	CA	0	Y	N	10.3	12:54	13:07	good	2	21	8	18	7	0	0
Hitra	Feoya f4-5	2	10.06.2022	CA	0	Y	N	10.3	12:37	12:52	good	1	18	14	29	21	0	0
Hitra	Steinrenningen s-8	2	09.06.2022	CA		N	N	10	10:31	10:47	good	1	20	37	52	18	0	1
Hitra	Steinrenningen s-8	2	09.06.2022	CA		N	N	10	10:49	11:02	good	2	13	33	50	18	0	1
Hitra	Vegshiftholmane 6	2	07.06.2022	CA	10	Y	N	10.1	09:46	10:00	good	1	28	28	57	37	0	1
Hitra	Vegshiftholmane 6	2	07.06.2022	CA	10	Y	N	10.1	10:02	10:17	good	2	26	35	61	32	0	0
Austevoll	Tipatiskaeret	1	08.05.2022	CA	0	Y	N	9.5	19:02	19:29	good	1	129	113	168	102	6	0
Austevoll	Tipatiskaeret	1	08.05.2022	TA	0	Y	N	9.5	18:55	16:26	good	2	128	57	130	80	0	1
Austevoll	Lamoya	1	09.05.2022	TA	30	Y	N	8.5	13:22	13:42	medium	1	60	31	61	47	0	2
Austevoll	Lamoya	1	09.05.2022	CA	30	Y	N	8.5	13:25	13:43	medium	2	45	21	91	44	0	4
Austevoll	Krabbavika	1	10.05.2022	CA	10	N	Y	8.3	12:28	12:49	good	1	110	93	258	150	0	1
Austevoll	Krabbavika	1	10.05.2022	TA	5	N	Y	8.2	12:14	12:43	good	2	107	112	103	58	0	0
Austevoll	Saltkjaerholmane	1	11.05.2022	CA	0	N	Y	8.4	13:33	13:50	good	1	39	37	41	44	0	2
Austevoll	Saltkjaerholmane	1	11.05.2022	TA	0	N	Y	8.4	13:30	13:44	good	2	41	31	48	35	0	3
Austevoll	Ternholmen	1	12.05.2022	TA	0	Y	N	8.4	14:40	15:08	good	1	76	88	118	51	0	0
Austevoll	Ternholmen	1	12.05.2022	CA	0	Y	N	8.4	14:35	14:51	good	2	41	26	80	79	0	0
Hitra	Teistholmen 13	1	20.05.2022	CA	0	Y	N	9.1	09:55	10:12		1	59	15	57	87	0	1
Hitra	Teistholmen 10	1	18.05.2022	CA	0	Y	N	7.7	09:29	09:40	good	1	11	11	11	16	0	0
Hitra	Teistholmen 10	1	18.05.2022	CA	0	Y	N	7.7	09:42	09:55	good	2	21	12	25	14	0	0
Hitra	Feoya f4-5	1	16.05.2022	CA	0	N	N	7.5	11:07	11:29	good	1	5	11	15	1	0	0
Hitra	Feoya f4-5	1	16.05.2022	TA	0	N	N	7.5	12:59	13:16	good	4	28	14	48	24	0	0
Hitra	Feoya f4-5	1	16.05.2022	TA	0	N	N	7.5	11:12	11:27	good	3	27	14	27	21	0	1
Hitra	Feoya f4-5	1	16.05.2022	CA	0	N	N	7.5	13:01	13:17	good	2	7	8	15	9	0	1
Hitra	Steinrenningen s-8	1	17.05.2022	CA	0	Y	N	7.5	09:47	09:58	good	1	4	5	5	8	0	1
Hitra	Steinrenningen s-8	1	17.05.2022	CA	0	Y	N	7.5	09:47	09:58	good	2	3	4	5	3	0	0
Hitra	Vegshiftholmane 6	1	19.05.2022	CA	0	Y	N	8.3	16:43	16:55	good	1	12	6	10	9	0	1
Hitra	Vegshiftholmane 6	1	19.05.2022	CA	0	Y	N	8.3	16:27	16:40	good	2	18	6	15	9	0	0
